Event Data
Swedish Open Skovde 2001
SWEDEN
Dates: 21 Nov - 25 Nov 2001

Year	Event	Player A	Player B	Player X	Player Y	Sub-event	Stage	Round	Result	Games	Winner	Winner
2001	Swedish Open Skovde 2001	CLOSSET Marc (BEL)		MAZE Michael (DEN)		MS	Qualification		1 - 4	9:11 7:11 3:11 11:7 7:11	MAZE Michael	
2001	Swedish Open Skovde 2001	JENKINS Ryan (WAL)		MAZE Michael (DEN)		MS	Qualification		1 - 4	6:11 8:11 9:11 14:12 14:16	MAZE Michael	
2001	Swedish Open Skovde 2001	KIM Song Hui (PRK)		OLEJNIK Martin (CZE)		MS	Qualification		4 - 2	7:11 11:9 11:5 7:11 11:9 11:4	KIM Song Hui	
2001	Swedish Open Skovde 2001	KIM Song Hui (PRK)		MANSSON Magnus (SWE)		MS	Qualification		4 - 1	11:8 11:9 7:11 11:4 11:8	KIM Song Hui	
2001	Swedish Open Skovde 2001	KIM Song Hui (PRK)		BAGGALEY Andrew (ENG)		MS	Qualification		4 - 2	7:11 11:6 11:5 11:6 4:11 11:8	KIM Song Hui	
2001	Swedish Open Skovde 2001	OLEJNIK Martin (CZE)		MANSSON Magnus (SWE)		MS	Qualification		2 - 4	9:11 13:11 7:11 11:6 6:11 9:11	MANSSON Magnus	
2001	Swedish Open Skovde 2001	OLEJNIK Martin (CZE)		BAGGALEY Andrew (ENG)		MS	Qualification		4 - 3	11:7 11:9 9:11 11:6 7:11 9:11 11:9	OLEJNIK Martin	
2001	Swedish Open Skovde 2001	QUENTEL Dorian (FRA)		LI Ching (HKG)		MS	Qualification		0 - 4	4:11 9:11 6:11 7:11	LI Ching	
2001	Swedish Open Skovde 2001	QUENTEL Dorian (FRA)		CHANG Miao (NOR)		MS	Qualification		4 - 2	8:11 11:6 11:6 8:11 11:6 11:8	QUENTEL Dorian	
2001	Swedish Open Skovde 2001	QUENTEL Dorian (FRA)		ROSVALL Henrik (SWE)		MS	Qualification		4 - 3	11:9 5:11 8:11 11:9 9:11 11:7 11:4	QUENTEL Dorian	
2001	Swedish Open Skovde 2001	LI Ching (HKG)		CHANG Miao (NOR)		MS	Qualification		4 - 2	13:11 10:12 8:11 11:5 11:5 11:6	LI Ching	
2001	Swedish Open Skovde 2001	LI Ching (HKG)		ROSVALL Henrik (SWE)		MS	Qualification		4 - 1	11:5 11:4 8:11 11:2 11:4	LI Ching	
2001	Swedish Open Skovde 2001	CHANG Miao (NOR)		ROSVALL Henrik (SWE)		MS	Qualification		4 - 0	11:6 11:7 11:7 11:9	CHANG Miao	
2001	Swedish Open Skovde 2001	ILLAS Erik (SVK)		YUNG Kyong Chol (PRK)		MS	Qualification		3 - 4	13:11 9:11 12:10 11:4 8:11 9:11 13:15	YUNG Kyong Chol	
2001	Swedish Open Skovde 2001	ILLAS Erik (SVK)		MOLIN Magnus (SWE)		MS	Qualification		1 - 4	4:11 11:8 8:11 7:11 7:11	MOLIN Magnus	
2001	Swedish Open Skovde 2001	YUNG Kyong Chol (PRK)		MOLIN Magnus (SWE)		MS	Qualification		4 - 2	11:8 5:11 11:8 8:11 11:0 11:8	YUNG Kyong Chol	
2001	Swedish Open Skovde 2001	SORENSEN Joachim (NOR)		ZOOGLING Mikael (SWE)		MS	Qualification		0 - 4	7:11 5:11 3:11 8:11	ZOOGLING Mikael	
2001	Swedish Open Skovde 2001	SORENSEN Joachim (NOR)		KUSINSKI Marcin (POL)		MS	Qualification		0 - 4	5:11 5:11 5:11 5:11	KUSINSKI Marcin	
2001	Swedish Open Skovde 2001	SORENSEN Joachim (NOR)		SAKAMOTO Ryusuke (JPN)		MS	Qualification		1 - 4	9:11 9:11 11:9 4:11 8:11	SAKAMOTO Ryusuke	
2001	Swedish Open Skovde 2001	ZOOGLING Mikael (SWE)		KUSINSKI Marcin (POL)		MS	Qualification		3 - 4	7:11 12:10 11:6 6:11 12:10 7:11 6:11	KUSINSKI Marcin	
